gene	rho	p_val
IDH2	0.03311134219138299	0.04186917767539903
FUBP1	0.03291745767137025	0.043083799683438576
CRKL	0.032796579916212085	0.043856021859649895
SMYD3	-0.032753167563120966	0.04413619622463323
FLCN	0.03273905327960644	0.04422761160284864
FANCC	-0.03256072679794437	0.04539642095697547
RUNX1	-0.031920682930138854	0.049807958372996494
TCF3	0.031898038538076455	0.04997039794394506
RAD51B	0.031862613732209444	0.05022540826706999
LATS2	0.03163677270606851	0.051876912504246975
TET1	0.031627791292237944	0.05194351874644584
AKT3	-0.03158971176066091	0.05222671173056084
BCOR	0.03138887050167396	0.05374178240790657
ARID1A	0.03136417318220922	0.053930597341195076
POLE	-0.03128475718092652	0.05454150054984429
SHQ1	-0.030953068287809516	0.05715570993097445
HOXB13	-0.029561277446550786	0.06928574159729295
RYBP	-0.029559828222616578	0.06929939589749468
TRAF2	0.028603716034443793	0.07880112674307299
SMO	-0.02855433548723892	0.07931930999525105
ABL1	-0.028466747187484598	0.08024524427058237
PMS2	-0.028139732469154268	0.08378010404188449
NFE2L2	0.027578986162244006	0.09013397996925404
INHBA	0.027534586396356236	0.09065321005729389
RPS6KB2	0.027479860514604094	0.09129650439366896
AXIN1	0.027155847816149676	0.09518072712276544
EGFR	0.026872807931384322	0.09868104515164033
PDGFRA	0.026814497994711427	0.0994147642824926
DNMT3A	0.026766859567367948	0.10001742660903944
SHOC2	-0.02667079947485227	0.10124151441202363
CSF1R	-0.02643730201074472	0.10426671339097762
RXRA	-0.026223511034005564	0.10709912820551298
FGFR2	0.026051081141551365	0.1094276755947412
RAF1	0.025992859260501516	0.11022289613825322
KEAP1	-0.025970041875423164	0.11053578815428512
RBM10	0.025731731524875012	0.11384577008708707
CXCR4	0.02563861654805105	0.11516008314451179
TSC2	-0.02484983956762787	0.12677733220339818
RRAS	-0.02465920178701698	0.12971751566544346
SMARCB1	-0.024472946745263523	0.13264094550781502
DROSHA	0.024325338237758676	0.13499380330380364
MYOD1	-0.024241083063920938	0.13635119855135086
MLH1	0.023534735834073266	0.14814834245264705
CYLD	-0.023286752264904516	0.15246997671886706
EPCAM	0.023188771919414566	0.15420368112890223
SRSF2	0.02286924243268419	0.1599616680396928
RNF43	-0.02229427139674293	0.17072982700385492
EZH1	-0.022210027239874967	0.17235211575703124
CDK8	0.021912679382628558	0.1781703102504508
TGFBR1	0.021782633839805162	0.1807603480808348
GATA2	0.021310770481609478	0.19039291913961864
NFKBIA	0.021288085383951574	0.1908653512835125
NTRK2	0.020791081860595244	0.20143321262485306
RAD54L	0.020729836043306415	0.20276445209837451
MAX	-0.020562209291199805	0.20644072643032993
AXIN2	0.020555301366789368	0.20659325749312896
EZH2	0.02013923143078864	0.21593170190249988
TNFRSF14	0.02012895895722782	0.21616604360422795
FOXP1	-0.01999106273552608	0.21932954647204073
AURKA	-0.019521633121979333	0.23034754284529418
ANKRD11	0.01914999158369524	0.23934515448369545
CD276	-0.018967047552289115	0.24386417224106294
GNAS	0.01851052731360007	0.2554012112254396
PDGFRB	-0.01844971681430169	0.2569661546649579
EPHA7	-0.01813697373901308	0.26511955267061876
CALR	-0.017982956580807934	0.26919966378753263
TAP2	0.017753286411164988	0.27536357998358313
BMPR1A	0.017606527999260147	0.2793523410434006
CARM1	-0.01756598837536117	0.2804610592337725
EPAS1	0.017553329799947972	0.28080786988716283
B2M	-0.017171265477579547	0.2914124618626705
