term	p_rho	p_pval	c_rho	c_pval	rlipp
NEST:193	0.44352061888526834	8.167720010584238e-182	0.4545998117024263	4.829344797394633e-192	0.9756286902634922
NEST:5	0.36877144040673726	5.283126611628522e-122	0.3784873056367192	6.2277126260923e-129	0.9743297461096161
NEST:84	0.1689304524785909	1.4078908434413112e-25	0.1741013030154323	4.3411976411920186e-27	0.9702997596957499
NEST:98	0.12647527495299007	6.112593091580234e-15	0.13038500918255963	8.63712804762436e-16	0.9700139283336222
NEST:57	0.24036361549930557	8.868885275097728e-51	0.2483262905725885	3.478860332057605e-54	0.9679346272401417
NEST:17	0.45582070094840177	3.4152436317821477e-193	0.4732898957034404	3.535202226143128e-210	0.9630898632875428
NEST:134	0.24832254544990015	3.4919530518459393e-54	0.2580601403662941	1.6123538476845383e-58	0.9622661798812778
NEST:73	0.33594698366655257	2.6371837212325387e-100	0.354995862774863	1.394992609707373e-112	0.9463405602549482
NEST:90	0.2639142297880309	3.234749756153395e-61	0.28002569715482595	5.321305342350892e-69	0.9424643254869319
NEST:81	0.19275685960974906	6.137659587067843e-33	0.2049061359683153	4.347519515822182e-37	0.9407080890908758
NEST:7	0.20552610541924166	2.6253671785068097e-37	0.21860608748509505	4.273254286202505e-42	0.9401664326170917
NEST:59	0.0590697743229749	0.0002809726078777333	0.06308103538209035	0.00010472699769912208	0.9364109825588832
NEST:16	0.2282011580641109	8.190001893816868e-46	0.24403131091282934	2.4788360049525776e-52	0.9351306486470782
NEST:123	0.23176764192213184	3.0673639999259875e-47	0.2526748626066241	4.250915208128301e-56	0.9172564280086636
NEST:44	0.18570926334720098	1.1793152204053235e-30	0.20473762945870758	4.984898309441607e-37	0.9070597517329156
NEST:45	0.287681850122085	6.904842385593894e-73	0.3189759895575136	4.4657049100094925e-90	0.9018918650308442
NEST:125	0.1029165494044215	2.301835166326145e-10	0.11477180195674841	1.4985995021224108e-12	0.896705877661531
NEST:35	0.1544528336812438	1.3421755900193635e-21	0.18724680940084398	3.8115561680210212e-31	0.8248622989917158
NEST:20	0.04785532064661182	0.0032634133049411498	0.05937468975981848	0.00026119926773900007	0.8059885591014517
