term	gene	pc1_corr	pc1_corr_pval	rank
NEST:231	MSH3	-0.4427	0.0000	3
NEST:231	MSH2	-0.4234	0.0000	4
NEST:231	PMS2	0.2795	0.0000	5
NEST:234	JAK2	0.6087	0.0000	1
NEST:234	JAK1	-0.5787	0.0000	2
NEST:234	IRS1	-0.3916	0.0000	3
NEST:234	SOS1	-0.2893	0.0000	4
NEST:234	PTPN11	-0.1863	0.0000	5
NEST:25	IL10	-0.3765	0.0000	1
NEST:25	IKZF1	0.3267	0.0000	2
NEST:25	LYN	0.3110	0.0000	3
NEST:25	PIK3CD	-0.3071	0.0000	4
NEST:25	FYN	0.2897	0.0000	5
NEST:25	RAC2	-0.2573	0.0000	6
NEST:25	KIT	-0.2215	0.0000	7
NEST:25	CSF1R	0.2043	0.0000	8
NEST:25	SYK	-0.1989	0.0000	9
NEST:25	B2M	-0.1909	0.0000	10
NEST:25	PDCD1	0.1790	0.0000	11
NEST:25	TAP2	-0.1736	0.0000	12
NEST:25	BTK	-0.1699	0.0000	13
NEST:25	TAP1	-0.0766	0.0000	14
NEST:254	PTEN	-0.7404	0.0000	1
NEST:254	IGF1R	-0.4767	0.0000	2
NEST:254	EGFR	-0.3352	0.0000	3
NEST:254	INSR	-0.2597	0.0000	4
NEST:254	IRS1	-0.2059	0.0000	5
NEST:256	ERBB2	0.8372	0.0000	1
NEST:256	FGFR2	-0.2825	0.0000	2
NEST:256	ERBB4	-0.2773	0.0000	3
NEST:256	KRAS	0.2596	0.0000	4
NEST:256	FGFR4	0.1802	0.0000	5
NEST:256	HRAS	0.1293	0.0000	6
NEST:26	CREBBP	-0.4779	0.0000	1
NEST:26	SRSF2	0.3166	0.0000	2
NEST:26	UPF1	-0.2333	0.0000	3
NEST:26	U2AF1	0.2276	0.0000	4
NEST:26	CASP8	-0.1945	0.0000	5
NEST:277	BRIP1	-0.7027	0.0000	1
NEST:277	BRCA1	-0.5345	0.0000	2
NEST:277	PMS1	-0.2628	0.0000	3
NEST:277	MLH1	-0.2623	0.0000	4
